drug_id	target_id	gene_name
DB01847	BE0001323	
DB02391	BE0000250	PNP
DB11120	BE0000923	MAPK1
DB00119	BE0000253	ABAT
DB11348	BE0008706	
DB04786	BE0000048	F2
DB02659	BE0003993	COX8A
DB00415	BE0004644	pbp2a
DB00432	BE0004796	
DB00143	BE0002284	GLRX
DB00431	BE0000745	GLRA2
DB03546	BE0000882	GART
DB03723	BE0002493	rmlA
DB02421	BE0001901	galE
DB02647	BE0001072	CDK2
DB00125	BE0000448	AZIN2
DB00590	BE0000090	KCNH2
DB03559	BE0000360	ADH4
DB03435	BE0001933	spsA
DB04147	BE0004164	
DB00172	BE0002332	PPIB
DB03755	BE0001492	fgs
DB05882	BE0000792	ESR2
DB04156	BE0002023	cheY
DB00714	BE0000581	DRD3
DB00200	BE0000456	MMAB
DB01124	BE0000207	ABCC8
DB01992	BE0002680	fabH
DB00245	BE0000647	SLC6A3
DB00002	BE0001529	C1S
DB01267	BE0000020	DRD1
DB01915	BE0002281	GSTA1
DB04570	BE0000588	mrcA
DB03604	BE0000315	THRB
DB02075	BE0001516	LACZ
DB09211	BE0002375	PTGER3
DB05025	BE0002390	SOD1
DB06094	BE0003432	HSPB1
DB05492	BE0000442	HRH1
DB02079	BE0000316	AGXT
DB05255	BE0000509	CASR
DB13174	BE0003781	NR1H3
DB02325	BE0004529	PRSS2
DB07019	BE0000988	BACE1
DB03613	BE0002496	
DB04395	BE0000858	IGF1R
DB02799	BE0002022	pstS
DB04272	BE0001693	mobA
DB00898	BE0003597	GABRQ
DB01193	BE0000172	ADRB1
DB08265	BE0002006	fabI
DB03568	BE0002180	BCHE
DB07096	BE0001717	PARP1
DB05258	BE0000661	IFNAR1
DB03741	BE0002742	cumD
DB01934	BE0001322	lepB
DB03751	BE0002493	rmlA
DB03600	BE0004039	lipB
DB02041	BE0001405	tgt
DB00370	BE0000632	OPRK1
DB03814	BE0000540	QDPR
DB03349	BE0000487	PDE4B
DB07859	BE0003761	PRKACA
DB07186	BE0003745	PLK1
DB00171	BE0000437	CDK15
DB00170	BE0000380	PROC
DB03051	BE0001787	putA
DB02481	BE0000400	ADH1B
DB06155	BE0000061	CNR1
DB03510	BE0002231	ADSSL1
DB01929	BE0004001	DHFRL1
DB04315	BE0001792	ffh
DB01155	BE0000429	parC
DB08818	BE0004942	IMPG2
DB08025	BE0001097	MAPK10
DB00129	BE0000306	OTC
DB00108	BE0000590	ITGA4
DB03017	BE0004023	pvdQ
DB00440	BE0000324	TYMS
DB03147	BE0002986	lpd
DB00312	BE0000478	GABRA4
DB00144	BE0002296	DGKG
DB00801	BE0004797	GABRA1
DB00686	BE0000326	FGF4
DB08078	BE0001007	PPARD
DB00012	BE0000654	EPOR
DB01996	BE0000966	MMP13
DB00659	BE0004852	GRIN1
DB05137	BE0000411	CHRNA10
DB00157	BE0000149	LDHC
DB01106	BE0000442	HRH1
DB03401	BE0001627	ITPKA
DB00121	BE0000702	ACACB
DB04793	BE0001739	PRSS1
DB02546	BE0002796	acuC1
DB08217	BE0004224	CEACAM5
DB00605	BE0000017	PTGS1
DB01833	BE0000263	NOS3
DB09078	BE0000748	FGFR2
DB00173	BE0004323	SRPK2
DB00683	BE0003596	GABRP
DB03796	BE0003179	HNF4G
DB08074	BE0004154	accC
DB01028	BE0000484	ATP5D
DB00295	BE0000420	OPRD1
DB08453	BE0002473	petD
DB08482	BE0000920	MMP1
DB01761	BE0001019	MAPK14
DB01904	BE0001330	xylA
DB01595	BE0003595	GABRE
DB08934	BE0002403	NS5b
DB02755	BE0004494	M6PR
DB00363	BE0000581	DRD3
DB02751	BE0000567	GAMT
DB02883	BE0001600	cmk
DB02331	BE0001478	
DB00458	BE0000451	HTR2A
DB02023	BE0001520	mutT
DB00925	BE0000715	ADRA1D
DB01126	BE0000585	SRD5A2
DB04765	BE0001217	aspC
DB00068	BE0000385	IFNAR2
DB08902	BE0004747	pagA
DB01288	BE0000172	ADRB1
DB04179	BE0001248	E
DB04137	BE0004582	UCKL1
DB07132	BE0001193	PDPK1
DB00321	BE0003605	NTRK2
DB05022	BE0002425	TOP2B
DB07425	BE0000315	THRB
DB02379	BE0001295	9
DB02528	BE0004467	MB
DB08388	BE0000966	MMP13
DB02059	BE0001523	pobA
DB06910	BE0001594	gag-pol
DB00311	BE0000267	CA1
DB05035	BE0000315	THRB
DB02887	BE0003106	NME1
DB00934	BE0000045	CHRM3
DB06216	BE0000393	HTR2B
DB02196	BE0001521	GALE
DB00002	BE0000901	FCGR3B
DB03461	BE0004352	AKR1A1
DB08469	BE0002743	ethR
DB07242	BE0003788	DAPK3
DB00142	BE0000667	GPT
DB07873	BE0003570	GGPS1
DB07793	BE0000916	PYGM
DB08653	BE0004362	aauA
DB09462	BE0001751	hisD
DB00117	BE0000740	HARS
DB07562	BE0003734	CCNA2
DB02379	BE0004111	LCTL
DB02615	BE0000123	ESR1
DB00941	BE0002180	BCHE
DB01215	BE0003596	GABRP
DB00074	BE0002098	FCGR2A
DB07512	BE0002196	MAOB
DB01307	BE0000033	INSR
DB05737	BE0001640	PLA2G2A
DB00151	BE0000323	CBS
DB09421	BE0008659	TRHR
DB00495	BE0004136	pol
DB00692	BE0000501	ADRA1A
DB11348	BE0005259	RGN
DB04933	BE0002442	TLR4
DB00420	BE0000092	CHRM1
DB09166	BE0000523	GABRA3
DB01238	BE0000442	HRH1
DB03237	BE0002036	gudD
DB03117	BE0001595	scpB
DB01356	BE0000983	IMPA2
DB01403	BE0000501	ADRA1A
DB08006	BE0000382	DHODH
DB08515	BE0003918	PSMB4
DB07183	BE0000369	KDR
DB00872	BE0000165	AVPR1A
DB00086	BE0000928	F2R
DB08768	BE0001072	CDK2
DB06268	BE0000521	EDNRA
DB04799	BE0003861	UQCR10
DB04799	BE0003857	UQCRQ
DB07749	BE0003531	CTRB1
DB01066	BE0003624	penA
DB07296	BE0002971	murB
DB09183	BE0008655	NS5b
DB04616	BE0000426	ACHE
DB11093	BE0008693	CHP1
DB04836	BE0000749	SLC6A4
DB07437	BE0002456	UPP1
DB05023	BE0000858	IGF1R
DB03812	BE0001270	ribH
DB08629	BE0003841	ATP5B
DB00067	BE0000293	AVPR2
DB04050	BE0004467	MB
DB05161	BE0000394	ELANE
DB04287	BE0001640	PLA2G2A
DB06911	BE0000048	F2
DB01567	BE0003598	GABRR2
DB02450	BE0001559	
DB01169	BE0000428	AKT1
DB00228	BE0004857	GLRA1
DB03721	BE0004592	SIGLEC1
DB00241	BE0000826	GRIK2
DB02628	BE0001156	XIAP
DB08712	BE0001723	fabH
DB08897	BE0000092	CHRM1
DB03059	BE0002938	
DB00868	BE0000197	SCN5A
DB07817	BE0004100	pheT
DB03143	BE0001846	atpE
DB07674	BE0003349	opdA
DB00157	BE0000135	ALDH7A1
DB01782	BE0003790	MAPK8
DB04315	BE0004533	RAB5A
DB03748	BE0001553	shc
DB01356	BE0000831	GRIA3
DB09128	BE0000451	HTR2A
DB01011	BE0001246	camC
DB06980	BE0003767	SKP1
DB07763	BE0003857	UQCRQ
DB01843	BE0000916	PYGM
DB03421	BE0001477	eltB
DB08073	BE0001172	AKT2
DB00270	BE0000430	CACNA1C
DB04526	BE0001326	fhuA
DB01238	BE0000311	HTR3A
DB09167	BE0000291	HTR1A
DB00231	BE0002344	GABRB1
DB07607	BE0001019	MAPK14
DB04238	BE0001739	PRSS1
DB01826	BE0002564	glbN
DB02059	BE0001707	rfbG
DB07766	BE0004076	CAMK2A
DB00187	BE0000172	ADRB1
DB00095	BE0002096	C1QC
DB01992	BE0001383	fadR
DB05087	BE0000523	GABRA3
DB00150	BE0002311	WARS2
DB00320	BE0000289	ADRA2A
DB00477	BE0000418	CALM1
DB00408	BE0004889	DRD1
DB06243	BE0000404	ODC1
DB00485	BE0004645	LMHCC_2184
DB08551	BE0002718	blaCTX-M-9a
DB00002	BE0002095	C1QB
DB00367	BE0000539	SRD5A1
DB01200	BE0000342	ADRA2C
DB02088	BE0002012	map
DB03147	BE0002970	cry
DB00741	BE0000422	ANXA1
DB00379	BE0003721	AHR
DB05079	BE0000451	HTR2A
DB04246	BE0001739	PRSS1
DB00112	BE0000901	FCGR3B
DB04074	BE0000721	BCAT2
DB07783	BE0002214	ADA
DB04884	BE0000797	HTR1B
DB00801	BE0003619	GABRR3
DB00513	BE0001088	PLAT
DB00142	BE0000833	GRM4
DB07591	BE0002012	map
DB07384	BE0003840	ATP5A1
DB00023	BE0004798	
DB00381	BE0002226	CACNA1B
DB04272	BE0002653	
DB02995	BE0001291	murA
DB00594	BE0000497	SCNN1G
DB00171	BE0000359	ALK
DB07912	BE0004122	ENOPH1
DB09047	BE0000429	parC
DB01633	BE0001219	cel5A
DB08047	BE0003740	NCOA2
DB09213	BE0001195	CFTR
DB00914	BE0002441	KCNJ8
DB02906	BE0002845	camK
DB08778	BE0003382	CHEK1
DB01840	BE0004496	ISYNA1
DB05014	BE0002131	FGFR1
DB01959	BE0001287	PDE4D
DB07232	BE0003798	PARP2
DB04695	BE0004094	MVK
DB03086	BE0001534	METAP2
DB03608	BE0000351	AOC1
DB03358	BE0001402	PAPS
DB00051	BE0001529	C1S
DB07851	BE0000854	DPP4
DB01103	BE0001081	PLCL1
DB08217	BE0000957	EIF4E
DB02290	BE0001270	ribH
DB04465	BE0001421	lacZ
DB04894	BE0003528	SSTR2
DB00116	BE0000734	MTR
DB04967	BE0000742	TOP2A
DB02989	BE0001739	PRSS1
DB01359	BE0000694	ADRB2
DB02346	BE0001508	csd
DB03134	BE0001297	dapD
DB02831	BE0000869	DCXR
DB11348	BE0008711	CALR3
DB11348	BE0000885	S100A13
DB00477	BE0000533	HTR2C
DB00537	BE0000742	TOP2A
DB06886	BE0003743	apr
DB04395	BE0001277	PIM1
DB06947	BE0000048	F2
DB00383	BE0000560	CHRM2
DB00897	BE0003593	GABRG1
DB05897	BE0000858	IGF1R
DB02670	BE0001243	
DB07107	BE0003761	PRKACA
DB00446	BE0004650	rplP
DB00072	BE0002100	FCGR2C
DB06637	BE0004721	KCNB1
DB03048	BE0000960	DPYD
DB06202	BE0000123	ESR1
DB05501	BE0000919	CXCR4
DB01211	BE0003659	SLCO1B3
DB04328	BE0001759	aroA
DB02287	BE0001739	PRSS1
DB05075	BE0000023	FLT4
DB07546	BE0003984	CSNK2A2
DB00223	BE0000794	NR3C1
DB08935	BE0000066	MS4A1
DB07821	BE0002705	CES1
DB08099	BE0000270	REN
DB00480	BE0003517	TNFSF11
DB00306	BE0000478	GABRA4
DB00562	BE0000535	CA4
DB01369	BE0002464	rplV
DB07184	BE0001594	gag-pol
DB13165	BE0004191	ROCK2
DB04315	BE0004558	RAB11A
DB08871	BE0000026	TUBB1
DB01134	BE0000668	NR3C2
DB03017	BE0001723	fabH
DB02448	BE0001640	PLA2G2A
DB02473	BE0000895	PLAU
DB00696	BE0000501	ADRA1A
DB07614	BE0001167	HPGDS
DB00454	BE0000396	GRIN2D
DB08366	BE0000800	fabF
DB00671	BE0000103	mrdA
DB08649	BE0004363	aauB
DB00090	BE0004822	
DB03892	BE0000067	NOS1
DB02835	BE0004461	PGM1
DB00896	BE0000794	NR3C1
DB08604	BE0000332	inhA
DB00767	BE0000092	CHRM1
DB00794	BE0000523	GABRA3
DB01873	BE0001415	TUBB3
DB07557	BE0003610	AKR1D1
DB01229	BE0000956	NR1I2
DB01136	BE0000694	ADRB2
DB00157	BE0000010	AMT
DB00159	BE0000262	PTGS2
DB08185	BE0004214	rpsQ
DB00126	BE0002208	P3H3
DB00371	BE0004797	GABRA1
DB03729	BE0000895	PLAU
DB00960	BE0000797	HTR1B
DB04272	BE0002757	yfiH
DB09151	BE0003392	APP
DB00829	BE0003599	GABRD
DB02404	BE0000426	ACHE
DB00709	BE0000555	P
DB00145	BE0000536	SLC36A1
DB04272	BE0003258	
DB01912	BE0001790	lytA
DB08216	BE0001668	
DB00445	BE0004796	
DB01234	BE0000794	NR3C1
DB01587	BE0003595	GABRE
DB01955	BE0002005	mepA
DB01198	BE0000795	GABRA1
DB04461	BE0001629	UROD
DB01109	BE0001159	SELP
DB02555	BE0001029	IL2
DB11166	BE0000216	F10
DB04141	BE0000938	MT-CYB
DB00316	BE0000262	PTGS2
DB05806	BE0000971	TOP1
DB01064	BE0001012	ADRB3
DB01960	BE0001402	PAPS
DB08141	BE0001072	CDK2
DB02325	BE0002723	GDF5
DB00850	BE0000756	DRD2
DB00078	BE0002098	FCGR2A
DB00231	BE0003599	GABRD
DB05389	BE0003375	CD163
DB03966	BE0000799	gyrB
DB07464	BE0003894	bla
DB03083	BE0003334	CSNK1G2
DB08453	BE0003857	UQCRQ
DB05507	BE0000444	CASP1
DB05766	BE0000581	DRD3
DB01327	BE0003723	pbpC
DB08690	BE0003857	UQCRQ
DB08575	BE0000266	MME
DB07549	BE0000048	F2
DB02010	BE0001277	PIM1
DB02519	BE0001827	CRK2
DB02044	BE0000263	NOS3
DB08598	BE0002050	gag-pol
DB01163	BE0004644	pbp2a
DB03264	BE0001723	fabH
DB03703	BE0000400	ADH1B
DB03425	BE0000826	GRIK2
DB05299	BE0001029	IL2
DB00194	BE0004499	
DB01752	BE0002523	hhaIM
DB03541	BE0001438	thyA
DB01175	BE0000442	HRH1
DB07866	BE0000329	HSD11B1
DB04950	BE0004796	
DB03298	BE0000838	SRC
DB05822	BE0000017	PTGS1
DB03814	BE0002707	cyp158a2
DB00458	BE0000560	CHRM2
DB00114	BE0000692	TAT
DB00753	BE0000795	GABRA1
DB06843	BE0003731	GNAS
DB00477	BE0000451	HTR2A
DB01962	BE0001424	HCK
DB00139	BE0002202	P3H1
DB08498	BE0001162	CASP3
DB01677	BE0001487	
DB00142	BE0000180	GLUD1
DB07345	BE0000988	BACE1
DB03461	BE0002072	pntB
DB00716	BE0000099	CYSLTR2
DB01419	BE0000262	PTGS2
DB01992	BE0004459	CS
DB00100	BE0000016	F8
DB01406	BE0001047	CCL2
DB05115	BE0000033	INSR
DB01000	BE0004290	pbpA
DB03389	BE0003068	xyn10C
DB08280	BE0000329	HSD11B1
DB01868	BE0001349	
DB06884	BE0003742	NRIP1
DB00907	BE0000749	SLC6A4
DB01992	BE0002675	rimL
DB02175	BE0001917	rsbQ
DB03361	BE0001531	budB
DB02894	BE0000322	CA2
DB01520	BE0000641	GRIN3A
DB08875	BE0002411	RET
DB01097	BE0000382	DHODH
DB01752	BE0002529	
DB07780	BE0004093	Rv1086
DB04233	BE0003941	ompC
DB00355	BE0000790	pbpC
DB00829	BE0004797	GABRA1
DB00708	BE0000632	OPRK1
DB01173	BE0000534	GRIN3B
DB09014	BE0000533	HTR2C
DB00110	BE0002095	C1QB
DB01175	BE0000486	SLC6A2
DB08262	BE0000629	HBB
DB00729	BE0000045	CHRM3
DB00514	BE0003585	CHRNA3
DB07892	BE0001594	gag-pol
DB02930	BE0001235	recA
DB05232	BE0002081	SCN2A
DB02343	BE0003797	murI
DB01043	BE0000641	GRIN3A
DB01220	BE0000956	NR1I2
DB08901	BE0000453	KIT
DB00114	BE0000618	GLDC
DB04787	BE0000557	PGR
DB09462	BE0003768	PLA2G2E
DB07363	BE0000322	CA2
DB08872	BE0002396	CACNA2D2
DB00374	BE0000110	P2RY12
DB08688	BE0004376	ACOT13
DB07898	BE0004116	
DB00025	BE0001043	VWF
DB00335	BE0000694	ADRB2
DB00143	BE0002292	GLRX2
DB01088	BE0002353	PDE4C
DB03350	BE0001922	aroC
DB01221	BE0000420	OPRD1
DB05147	BE0001340	TUBA1A
DB07890	BE0004066	trpB
DB02556	BE0001026	CRH
DB02578	BE0001349	
DB01054	BE0002354	CACNB2
DB03222	BE0001269	recA
DB01363	BE0001012	ADRB3
DB00710	BE0000776	FDPS
DB08810	BE0000451	HTR2A
DB04450	BE0004133	acpP
DB03976	BE0003531	CTRB1
DB04282	BE0002060	celB
DB01244	BE0002396	CACNA2D2
DB01110	BE0004423	KCNMB3
DB07074	BE0001021	F11
DB00413	BE0000533	HTR2C
DB09211	BE0003522	PTGER4
DB00397	BE0000172	ADRB1
DB01863	BE0001300	DAPP1
DB09118	BE0004797	GABRA1
DB08906	BE0000794	NR3C1
DB01910	BE0001456	rsrIM
DB00822	BE0000133	ALDH2
DB06943	BE0003754	ADAM17
DB02377	BE0001556	xapA
DB00666	BE0000472	GNRHR2
DB01558	BE0002345	GABRB3
DB00674	BE0004662	CHRNB1
DB00095	BE0000901	FCGR3B
DB08653	BE0004363	aauB
DB01184	BE0000756	DRD2
DB06216	BE0000572	ADRA2B
DB07085	BE0003752	
DB06845	BE0001739	PRSS1
DB05290	BE0000521	EDNRA
DB04301	BE0001739	PRSS1
DB03461	BE0002364	POR
DB00560	BE0000127	rpsI
DB00543	BE0000581	DRD3
DB08231	BE0004227	
DB07268	BE0003790	MAPK8
DB04879	BE0000029	FLT1
DB03793	BE0001413	cocE
DB01119	BE0000708	KCNJ11
DB00188	BE0002348	PSMB5
DB04395	BE0001547	purT
DB09076	BE0000560	CHRM2
DB00160	BE0002166	GPT2
DB07317	BE0001120	HSP90AA1
DB00109	BE0000398	gp41
DB02225	BE0001560	plc
DB08231	BE0004236	
DB01442	BE0000486	SLC6A2
DB07430	BE0001373	MAPKAPK2
DB00110	BE0000710	FCGR1A
DB04451	BE0004793	SAP2
DB02740	BE0003778	TRAC
DB01436	BE0000779	VDR
DB02620	BE0000623	PTPN1
DB02379	BE0001329	cslB
DB00400	BE0000283	TUB2
DB08802	BE0000442	HRH1
DB01024	BE0000761	IMPDH1
DB02772	BE0001483	nos
DB02694	BE0001387	panC
DB03247	BE0004614	RPS6KA4
DB08202	BE0000322	CA2
DB03880	BE0001637	MMP16
DB00127	BE0004796	
DB08330	BE0003855	UQCRC2
DB03222	BE0001811	
DB03896	BE0004515	PAPOLA
DB01273	BE0003585	CHRNA3
DB02222	BE0000250	PNP
DB00480	BE0004755	CRBN
DB00619	BE0000853	CSF1R
DB00118	BE0000304	MAT2A
DB01603	BE0004644	pbp2a
DB01247	BE0002198	MAOA
DB01236	BE0000484	ATP5D
DB00114	BE0000007	PYGL
DB01354	BE0000478	GABRA4
DB01001	BE0000172	ADRB1
DB03206	BE0001371	cgt
DB07450	BE0000747	AKR1B1
DB02035	BE0004538	PPT1
DB00690	BE0003596	GABRP
DB00418	BE0000471	GABRA5
DB04530	BE0000487	PDE4B
DB00246	BE0000451	HTR2A
DB00114	BE0000667	GPT
DB00898	BE0002343	CHRNA9
DB01942	BE0002660	glsA1
DB07145	BE0003754	ADAM17
DB04272	BE0001380	ftsZ
DB09112	BE0000130	HBA1
DB02415	BE0001326	fhuA
DB03138	BE0001876	arsC
DB04805	BE0003832	RPL37
DB04908	BE0000291	HTR1A
DB03925	BE0000394	ELANE
DB00114	BE0000292	SHMT2
DB00340	BE0000045	CHRM3
DB00415	BE0004643	pbp3
DB00741	BE0000794	NR3C1
DB00143	BE0002287	GPX1
DB00120	BE0000614	TH
DB03766	BE0002652	GPHN
DB02801	BE0001857	aroQ
DB00408	BE0000045	CHRM3
DB08133	BE0001072	CDK2
DB05265	BE0002423	NOXO1
DB00777	BE0000533	HTR2C
DB01602	BE0000576	pbpA
DB03814	BE0000520	ASL
DB04147	BE0004165	IGHV3-23
DB00413	BE0000659	HTR1D
DB00448	BE0000349	ATP4A
DB03247	BE0000621	nfsA
DB01148	BE0000092	CHRM1
DB07427	BE0000629	HBB
DB01942	BE0002661	glsA1
DB02849	BE0001506	dgdA
DB01992	BE0002681	mshD
DB07826	BE0001594	gag-pol
DB12191	BE0000246	BCL2
DB01936	BE0001997	rbsK
DB06718	BE0004844	
DB04239	BE0001405	tgt
DB02930	BE0002850	cag-alfa
DB00142	BE0000568	FOLH1
DB00111	BE0002099	FCGR2B
DB00408	BE0000647	SLC6A3
DB04253	BE0000220	NQO2
DB02560	BE0001397	apr
DB01359	BE0000797	HTR1B
DB03573	BE0001504	CTSF
DB05458	BE0000849	CHRNA4
DB08584	BE0000915	MET
DB08814	BE0000005	NOS2
DB00151	BE0002312	CARS2
DB00898	BE0003596	GABRP
DB07503	BE0001315	PIK3CG
DB07245	BE0000988	BACE1
DB00907	BE0000192	SCN11A
DB08115	BE0004120	gag-pol
DB03863	BE0001329	cslB
DB00458	BE0000749	SLC6A4
DB00842	BE0000471	GABRA5
DB08732	BE0004014	
DB04233	BE0001610	fadL
DB08610	BE0004348	PDK2
DB03442	BE0001240	ATIC
DB04530	BE0001277	PIM1
DB01827	BE0001353	LGALS3
DB01403	BE0000405	CHRM4
DB01694	BE0004525	ATP6V1C1
DB04447	BE0003311	rpmA
DB02596	BE0002733	cyaC
DB04905	BE0001032	ABCB1
DB01766	BE0000230	YARS
DB00421	BE0000685	SHBG
DB07243	BE0003382	CHEK1
DB00767	BE0000247	CHRM5
DB03461	BE0002962	petH
DB02052	BE0003819	CDK5R1
DB00363	BE0000442	HRH1
DB05362	BE0000216	F10
DB05351	BE0000619	ATP4B
DB08130	BE0000870	MAP2K1
DB05483	BE0002842	ZFY
DB00321	BE0000749	SLC6A4
DB01992	BE0001757	coaD
DB00622	BE0000575	ADRA1B
DB02432	BE0000838	SRC
DB01205	BE0000795	GABRA1
DB08873	BE0004701	NS3/4A
DB00487	BE0000742	TOP2A
DB03147	BE0004580	GFER
DB03147	BE0002981	GR2
DB02325	BE0002726	gag
DB00248	BE0000342	ADRA2C
DB00801	BE0000795	GABRA1
DB07676	BE0001065	GSK3B
DB01224	BE0000756	DRD2
DB00611	BE0000420	OPRD1
DB00904	BE0000084	HTR4
DB00157	BE0000148	ME2
DB00600	BE0000252	TYR
DB01038	BE0000756	DRD2
DB01684	BE0002148	PREP
DB03026	BE0002021	fbaA
DB03161	BE0002995	rmlC
DB03399	BE0004467	MB
DB03666	BE0001218	tmk
DB03127	BE0004529	PRSS2
DB04467	BE0002823	c-des
DB01559	BE0000129	GABRR1
DB01771	BE0001739	PRSS1
DB04894	BE0000384	TACR1
DB00683	BE0003595	GABRE
DB02679	BE0000322	CA2
DB07242	BE0001277	PIM1
DB01151	BE0000973	SMPD1
DB00114	BE0000916	PYGM
DB01238	BE0000342	ADRA2C
DB01595	BE0003596	GABRP
DB04272	BE0000372	GNMT
DB01972	BE0000182	PDE5A
DB00157	BE0000336	HSD17B3
DB00372	BE0000020	DRD1
DB02726	BE0001818	pfkA
DB00420	BE0000442	HRH1
DB07539	BE0001072	CDK2
DB00829	BE0000795	GABRA1
DB03661	BE0003144	def
DB09299	BE0004136	pol
DB02723	BE0000048	F2
DB08344	BE0004280	glmU
DB00537	BE0000090	KCNH2
DB03801	BE0001535	opd
DB04539	BE0001759	aroA
DB11093	BE0005812	PDCD6
DB07731	BE0001072	CDK2
DB08891	BE0000217	GABBR1
DB02964	BE0000916	PYGM
DB00142	BE0000824	GRM1
DB00073	BE0000901	FCGR3B
DB08411	BE0002815	IGHG1
DB00898	BE0000831	GRIA3
DB00078	BE0001529	C1S
DB03801	BE0001538	murE
DB04464	BE0003987	MT-CO3
DB01412	BE0000013	ADORA1
DB01263	BE0000233	ERG11
DB03366	BE0002903	vhb
DB06719	BE0000134	LHCGR
DB04343	BE0001750	glcB
DB02465	BE0002194	FAAH
DB04021	BE0000426	ACHE
DB01099	BE0000892	DNMT1
DB02164	BE0003766	HAO1
DB08360	BE0001209	CSNK2A1
DB00878	BE0004833	
DB07022	BE0001021	F11
DB08497	BE0001162	CASP3
DB01215	BE0003599	GABRD
DB02155	BE0003761	PRKACA
DB01488	BE0000156	SIGMAR1
DB09166	BE0003592	GABRG2
DB03754	BE0002580	dps
DB04447	BE0000554	ALDH1A1
DB04840	BE0000486	SLC6A2
DB00333	BE0000420	OPRD1
DB05509	BE0000291	HTR1A
DB08107	BE0001258	murD
DB03127	BE0001656	ST14
DB03721	BE0001522	kpsU
DB06908	BE0000215	PPARG
DB06822	BE0000280	SERPINC1
DB07629	BE0000216	F10
DB08301	BE0000322	CA2
DB01643	BE0001218	tmk
DB07407	BE0002012	map
DB01942	BE0001397	apr
DB00819	BE0000535	CA4
DB01238	BE0000575	ADRA1B
DB00277	BE0001133	PDE4A
DB03478	BE0003362	SIRT5
DB02724	BE0001326	fhuA
DB01942	BE0000322	CA2
DB05038	BE0003513	BDKRB2
DB03412	BE0001532	ansB
DB07432	BE0003869	nagZ
DB07995	BE0003761	PRKACA
DB01110	BE0000553	KCNMA1
DB00142	BE0002237	GATB
DB03971	BE0001639	amyM
DB00351	BE0000557	PGR
DB00829	BE0000523	GABRA3
DB00246	BE0000797	HTR1B
DB04799	BE0003854	CYC1
DB01115	BE0000864	CACNA1H
DB08846	BE0000577	SQLE
DB00157	BE0000479	ALDH1B1
DB08629	BE0003840	ATP5A1
DB06923	BE0001739	PRSS1
DB02184	BE0001270	ribH
DB01224	BE0000311	HTR3A
DB00713	BE0000576	pbpA
DB00173	BE0002706	ptd
DB05241	BE0001315	PIK3CG
DB01194	BE0003626	CA5A
DB00162	BE0000593	RDH13
DB05147	BE0003402	TUBB6
DB03940	BE0001945	
DB00848	BE0004925	unc-38
DB02009	BE0002050	gag-pol
DB06711	BE0000501	ADRA1A
DB03147	BE0002967	phrB
DB04444	BE0001997	rbsK
DB08838	BE0000365	GRIN1
DB08651	BE0004366	ecoRVR
DB00546	BE0000381	GABRA2
DB01782	BE0003791	TTK
DB04447	BE0000574	HMGCR
DB01351	BE0000826	GRIK2
DB01890	BE0003418	IGF1
DB01273	BE0000849	CHRNA4
DB02252	BE0001335	celCCF
DB03401	BE0004522	ITPR1
DB02908	BE0000838	SRC
DB00768	BE0000885	S100A13
DB02596	BE0001450	folK
DB00887	BE0000281	SLC12A2
DB09300	BE0000560	CHRM2
DB03836	BE0001246	camC
DB00583	BE0000406	CPT1A
DB00231	BE0002345	GABRB3
DB01826	BE0002563	
DB00430	BE0003686	mrcA
DB07766	BE0004077	CDK16
DB04607	BE0001072	CDK2
DB08772	BE0000747	AKR1B1
DB00348	BE0000455	HPD
DB07573	BE0000988	BACE1
DB00121	BE0000698	PC
DB01946	BE0001193	PDPK1
DB07129	BE0000895	PLAU
DB01015	BE0000124	folC
DB00477	BE0000650	HTR7
DB02752	BE0001438	thyA
DB00002	BE0002096	C1QC
DB00408	BE0000389	DRD4
DB01762	BE0004531	FAH
DB09085	BE0000739	RYR1
DB01242	BE0000749	SLC6A4
DB03147	BE0002971	murB
DB06800	BE0000632	OPRK1
DB00487	BE0000366	gyrA
DB00398	BE0000369	KDR
DB04447	BE0003844	TPI1
DB01813	BE0001396	hisC
DB06216	BE0000389	DRD4
DB03668	BE0001677	pyrF
DB00142	BE0000832	GRIK3
DB03309	BE0003050	P/V
DB02761	BE0002823	c-des
DB06835	BE0003257	CPB1
DB03445	BE0002015	bla
DB01224	BE0000560	CHRM2
DB00784	BE0000017	PTGS1
DB01588	BE0003594	GABRG3
DB01021	BE0000502	SLC12A1
DB00898	BE0005839	HTR3B
DB06944	BE0003734	CCNA2
DB03258	BE0001489	dcd
DB00172	BE0002331	PPIH
DB00413	BE0000145	DRD5
DB05317	BE0002444	FDFT1
DB00376	BE0000560	CHRM2
DB02038	BE0001344	alr
DB04447	BE0004493	LGALS1
DB11348	BE0002145	SPARC
DB00548	BE0003610	AKR1D1
DB02435	BE0001291	murA
DB08690	BE0000938	MT-CYB
DB07626	BE0000895	PLAU
DB07906	BE0000865	PNMT
DB06936	BE0000048	F2
DB03317	BE0003057	ccpA
DB04235	BE0000253	ABAT
DB11093	BE0008706	
DB06779	BE0000280	SERPINC1
DB00875	BE0000501	ADRA1A
DB01036	BE0000045	CHRM3
DB01082	BE0004799	
DB06948	BE0003734	CCNA2
DB00341	BE0000442	HRH1
DB04838	BE0002705	CES1
DB02363	BE0002010	folA
DB02581	BE0001029	IL2
DB01149	BE0000533	HTR2C
DB01972	BE0001290	pleD
